id,job_title,company,location,experience_min,experience_max,salary_min,salary_max,skills,job_description,employment_type,industry,functional_area,role,posted_date
106,"Urgent Requirement Data analytics Openings On Top MNC,Bangalore",,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SQL| Java| Python| R| Software Development| VBA| Advanced Excel| Data Analytics| C#| Predictive Modeling,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-07 04:32:57 +0000
107,Senior Business Analyst/assistant Manager - Machine Learning/r/python,,Noida,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Machine Learning| Python| Artificial Intelligence| NLP| Predictive Modeling| Data Management| Data Analytics| Analytics| Predictive Analytics,,,"Accounting, Finance","Financial Services , Banking , Investments , Insurance",Operations/Processes/Finance/Legal,2019-07-04 07:07:44 +0000
108,Senior Business Analyst,,Noida,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,digital| campaign management| problem| strategies| advertising,,,"BPO, Call Centre, ITeS","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 12:38:38 +0000
109,Data Analyst/data Scientist - C++/c#/java,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Java| C++| C#| Machine Learning| Solution Architect| Hadoop| Data Analyst,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-04 06:38:23 +0000
110,INTERN DATA ANALYST,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Usage,,,"Travel , Hotels , Restaurants , Airlines , Railways","IT Software - Application Programming , Maintenance",Other,2019-07-06 16:35:38 +0000
111,SAS Consultant - Business Intelligence/visual Analytics,,Delhi NCR,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Data Management| ETL| Teradata| Macros| Analytics,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",Admin/Maintenance/Security/Datawarehousing,2019-08-05 02:38:51 +0000
112,Practice Head - Data Analytics Solutions - Mumbai,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Telecom| Senior management| Networking| sales enablement| Flex| Database| Data analytics| Executive search| Key account management,,,"Recruitment, Staffing","Sales , Retail , Business Development",Senior Management,2019-07-06 21:46:45 +0000
113,Data Analyst ( Contract to Hire),,Noida,0,1,"1,00,000","2,50,000 PA.",voice| BPO| Bca| fresher| Backend| data analysis| Bba Fresher| english| book keeping| communication,,,"IT-Software, Software Services","Executive Assistant , Front Office , Data Entry",,2019-07-04 04:36:15 +0000
114,Data Analyst,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Market research| Data analysis| SQL| Logistics| Ideas| Income tax| Tax returns| Data Analyst| Business Executive| Corporate tie-ups,,,"BPO, Call Centre, ITeS","ITES , BPO , KPO , LPO , Customer Service , Operations",Back Office/Web/Transaction Processing,2019-07-05 14:13:39 +0000
115,Assistant Manager/manager - Credit Risk Analytics,,Ahmedabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Risk Analytics| Credit Risk| Analytics| SQL,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Analytics & BI,2019-08-04 04:58:15 +0000
116,Business Analyst,,Chandigarh,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| Compliance| Functional testing| Pharma| Legal| Clinical research| Scrum| Test cases| JIRA,,,"Recruitment, Staffing","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-04 07:26:17 +0000
117,Salesforce Einstein Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 02:06:36 +0000
118,Senior Business Analyst,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analytical skills| Focus| Senior Business Analyst| Banking,,,"Education, Teaching, Training","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 11:42:54 +0000
119,Senior Business Analyst,,Ahmedabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Base SAS| Linear Regression| Business Analysis| Segmentation| Model Development| Clustering| Modeling| SQL,,,"Strategy, Management Consulting Firms",Analytics & Business Intelligence,Analytics & BI,2019-07-05 16:19:15 +0000
120,Data Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Core Java| RDBMS| Coding| metadata| PAAS| developing| Data quality| HBase| messaging| NoSQL| java| apache| cassandra| SCALA| applications,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",Programming & Design,2019-08-06 05:48:58 +0000
121,Principal BI Analyst,,Hyderabad,0,1,"10,00,000","15,00,000 PA.",algorithms| data science| Linear Regression| machine learning| Statistical Analysis,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 04:57:02 +0000
122,Data Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Supply chain| Excel| PDF| Database management| Analytical| Trend analysis| Data Analyst| Advanced Excel| Management| MS Office,,,"FMCG, Foods, Beverage","ITES , BPO , KPO , LPO , Customer Service , Operations",Voice,2019-07-06 22:00:41 +0000
123,Manager - Data Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SQL| Business objects| Business intelligence| Application support| Open source| Remedy| Consulting| Change management| Auditing| SPSS,,,"Education, Teaching, Training","IT Software - DBA , Datawarehousing",System Design/Implementation/ERP/CRM,2019-07-07 00:40:02 +0000
124,Urgent Opening with our client For Install Base & Data Analysis,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Excel| Data Analysis| Install Base,,,"IT-Software, Software Services",IT Software - Other,Programming & Design,2019-08-06 00:57:07 +0000
125,BORN - Global Elite Partner Looks For Junior Business Analysts,,Bengaluru,0,1,Openings: 1,Openings: 1,Requirement Gathering|business analysis|business analyst|E - commerce,,,IT-Software / Software Services,"IT Software - eCommerce , Internet Technologies",System Design/Implementation/ERP/CRM,2019-08-05 00:39:18 +0000
126,BSc Walkin Drive (0-1yrs Exp) - Data Analysis Role - Koramangala,,Bengaluru,0,1,"1,25,000","1,75,000 PA.",Excel| Data Management| Data Analysis| Internet,,,"IT-Software, Software Services","HR , Recruitment , Administration , IR",Other,2019-08-04 21:31:29 +0000
127,Business Analyst - Business & Engineering Services,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Data Analysis| Data Warehousing| Solution Design| Business Analysis,,,"IT-Software, Software Services",Other,,2019-08-04 18:37:43 +0000
128,Business Analyst,,Navi Mumbai,0,1,"3,00,000","3,50,000 PA.",Technical Documentation| requirement gathering| database| Business Analyst| SRS| Visio| business consultant| Technical Specifications| IT - Software| Business Analysis,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 06:21:58 +0000
129,Solutions Engineer Supply Chain Analytics,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Supply chain| Data analysis| Network design| MS Access| Simulation| Data modeling| Machine learning| Analytics| SQL| Python,,,"Internet, Ecommerce","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-06 08:53:13 +0000
130,Data Analyst,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Accessories| Data analysis| Google Analytics| Analytical| Machine learning| Data structures| Reporting tools| SQL| Logistics| Python,,,"Textiles, Garments, Accessories","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-06 15:59:28 +0000
