id,job_title,company,location,experience_min,experience_max,salary_min,salary_max,skills,job_description,employment_type,industry,functional_area,role,posted_date
166,Manager/senior Manager - Analytics - Startup,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Marketing Analytics| Analytics| Machine Learning| Artificial Intelligence| Sales Analytics| SAS| Python| Predictive Modeling,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-05 00:42:05 +0000
167,Business Analyst (Datawarehousing):,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,MS Office suite| Data analysis| Business Analyst| Business analysis| Mortgage| Writing skills| VISIO| Presentation skills| Data warehousing| SDLC,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",System Design/Implementation/ERP/CRM,2019-08-06 01:09:33 +0000
168,Immediate Opening For Data Analyst/senior Data Analyst,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Unix| Hive| Linux| Data Analysis| Data Processing| Map| Athena| Data Domain| SQL,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 02:19:25 +0000
169,Urgent Opening Logistics Business Analyst For Plywood Industry,,Kolkata,0,1,"3,00,000","5,00,000 PA.",Executive Search| Financial Analysis| Project Management| Finance| Data Mining| Business Operations| Data Modeling| Logistics Planning| Demand Forecasting| Business Analysis,,,"Courier, Transportation, Freight , Warehousing",Analytics & Business Intelligence,Analytics & BI,2019-08-04 03:11:45 +0000
170,"Research , web Analytics",,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Web analytics| Social media| Management| Research,,,"IT-Software, Software Services","Marketing , Advertising , MR , PR , Media Planning",Marketing Research,2019-07-06 17:39:34 +0000
171,Senior SEO Executive/ Team Lead - Web Analytics,,Delhi,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Google Analytics| Omniture| Web Analytics| SEO,,,"KPO, Research, Analytics","Marketing , Advertising , MR , PR , Media Planning",Online/Digital Marketing,2019-08-04 05:28:05 +0000
172,Job Opportunity for Marketing Analytics_kolkata,,Kolkata,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,marketing analytics| sas| business partnering| machine learning| r| linear regression| clustering| statistical modeling| Logistic Regression| Advanced Analytics| Artificial Intelligence| Deep Learning| Forecasting,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Analytics & BI,2019-07-04 03:54:18 +0000
173,Lead: Business Development - Integration and Analytics,,Hyderabad,0,1,Openings: 1,Openings: 1,Bd|Integration|Strategy|Business Development,,,Pharma / Biotech / Clinical Research,Analytics & Business Intelligence,Analytics & BI,2019-08-04 21:03:02 +0000
174,"Require Business Analyst From Ecommerce Industry,exp-3to6 Years, Delhi",,Delhi NCR,0,1,"12,00,000","15,00,000 PA.",strategy implementation| strategic marketing| marketing| online sales| business analysis| corporate strategy| strategic planning| growth strategy,,,"Automobile, Auto Anciliary, Auto Components",Analytics & Business Intelligence,Analytics & BI,2019-08-06 04:35:40 +0000
175,"Business Analyst,",,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| Business analysis| Analytical| Workflow| CMMI| Healthcare| Market research| Information technology| SQL| Visual Design,,,"BPO, Call Centre, ITeS","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-06 01:05:15 +0000
176,Treasury Senior Business Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Change Management|Requirements Management|Agile Methodology|Program Management|Project Management|Transition|UAT|Project Governance|Project Planning|Business Case,,,IT-Software / Software Services,"IT Software - DBA , Datawarehousing",System Design/Implementation/ERP/CRM,2019-08-05 18:24:08 +0000
177,Financial Analyst / Business Analyst,,Bengaluru,0,1,"6,00,000","12,00,000 PA.",Business Intelligence| Financial Analysis| Excel| Finance| Data Mining| Variance Analysis| Forecasting| Trend Analysis| Market Research| SQL,,,"Retail, Wholesale","Accounts , Finance , Tax , Company Secretary , Audit",Finance/Audit,2019-08-04 20:06:05 +0000
178,Business Analyst,,Delhi NCR,0,1,"2,00,000","7,00,000 PA.",strategy planning| business analysis| business planning,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-04 10:32:38 +0000
179,Senior Business Analyst/manager - Insurance Analytics - Sas/r/python,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Business Analyst| Statistical Modeling| Data Modeling| Data Analytics| Statistics| Analytics| Insurance Analytics| Python,,,Insurance,Analytics & Business Intelligence,Analytics & BI,2019-07-04 17:15:36 +0000
180,Business Analyst - Strategy,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| Corporate| Market research| Product design| Management| Analytics,,,"IT-Software, Software Services","Strategy , Management Consulting , Corporate Planning",Corporate Planning/Consulting/Strategy,2019-07-06 17:46:17 +0000
181,Senior Business Analyst ? Fraud Analytics,,Delhi,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,data science| Business analysis| Consulting| HTML| Predictive modeling| Data quality| SPSS| Analytics| SQL| Android,,,"Medical, Healthcare, Hospitals","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-06 07:22:29 +0000
182,Associate VP - Analytics - Model Development - Retail - Iim/xlri/fms,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Statistical Modeling| Analytics| Retail Analytics| Predictive Modeling| Data Modeling| SAS| Statistics| Python,,,"Retail, Wholesale",Analytics & Business Intelligence,Senior Management,2019-07-04 17:11:54 +0000
183,Financial Reporting Analyst : Mumbai : 2 - 10 Years,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Finance| Financial Reporting| Financial Statements| Data Reporting,,,"IT-Software, Software Services","Accounts , Finance , Tax , Company Secretary , Audit",Finance/Audit,2019-07-04 20:47:43 +0000
184,"Consultant, Insurance Analytics",,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,insurance| analytics| regression| insurance analytics| machine learning,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-05 11:37:08 +0000
185,Assistant Manager/ Senior Manager/ Manager - Analytics,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Predictive Modeling| R| Logistic Regression| Excel| SAS| Segmentation| Big Data| Predictive Modelling| Machine Learning| Analytics| Predictive Analytics| Python,,,Insurance,Analytics & Business Intelligence,Analytics & BI,2019-07-04 18:46:45 +0000
186,Sr. Director of Digital - Analytics & Automation,,Delhi,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Sales Process| Communication Skills| Digital Transformation| Digital Analytics| Technology Solutions| Creative Solutions| Troubleshooting Skills| Life Cycle| Business Modeling| Process Automation,,,"Internet, Ecommerce","IT Software - eCommerce , Internet Technologies",Senior Management,2019-07-04 23:14:30 +0000
187,"Senior Executive, Analytics",,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,,,"Media, Entertainment, Internet","ITES , BPO , KPO , LPO , Customer Service , Operations",Voice,2019-08-05 22:30:56 +0000
188,Advanced Analytics Assistant Manager Analytics and Modeling Group,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Risk management| SAS| Consulting| Financial services| Data mining| Analytical| Computer science| Python| Machine learning| big data,,,"Banking, Financial Services, Broking","ITES , BPO , KPO , LPO , Customer Service , Operations",Voice,2019-07-06 07:26:13 +0000
189,Wipro Invites Applications from RPA Business Analysts,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,agile project management| agile methodology| solution design| Rpas| automation anywhere| Business Analyst,,,"IT-Software, Software Services",IT Software - Other,System Design/Implementation/ERP/CRM,2019-07-04 02:21:26 +0000
190,Telco Analytics Product Support Engineer - INT,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Troubleshooting| Technical support| Analytics| Unix| SAP| technical| analytical| cms| networking| tools| sql| java| jboss| linux| j2ee| telecom| hadoop| programming| c| oracle| level| Asset management| it| redhat| Product support| eclipse| Operational excellence| support,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-06 07:31:38 +0000
191,Data Analyst,,Hyderabad,0,1,"3,25,000","5,50,000 PA.",Data Entry| Data Analysis| analytics| data analytics| report| dashboard,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-07-04 04:12:25 +0000
192,Sr . Consultant - Cloud Data Analytics,,Mumbai,0,1,"7,00,000","10,00,000 PA.",,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-06 06:43:06 +0000
193,Assistant Vice President - Insurance Analytics - P&C Domain - Sas/r,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,insurance analytics| r| predictive analytics| model development| c| sas| strategy| project management| analytics,,,Insurance,Analytics & Business Intelligence,Senior Management,2019-07-04 17:11:37 +0000
194,Walk- in Drive for Adobe Analytics - Implementation role @ Eclerx,,Navi Mumbai,0,1,"3,00,000","5,00,000 PA.",,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-04 18:25:28 +0000
195,Business Analyst - Home Lending,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,technology| finance| operations| human resources,,,"Banking, Financial Services, Broking","Accounts , Finance , Tax , Company Secretary , Audit",Finance/Audit,2019-07-05 20:45:13 +0000
196,Business Analyst,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business services| Fund accounting| Business Analyst| Retail banking| Finance| Banking| Investment banking| Capital market| Financial services| Investment,,,"Banking, Financial Services, Broking","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 17:44:11 +0000
197,Senior Consultant - Analytics - SAS - Consulting Domain,,Delhi NCR,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Analytics| Statistics| Cross sell| segmentation| predictive modeling| logistic| regression| pd| EAD| LGD| arima| anova,,,"Strategy, Management Consulting Firms",Analytics & Business Intelligence,Analytics & BI,2019-07-04 20:02:46 +0000
198,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,sql| data analysis| business analysis| excel| problem solving| python| analytics| statistics,,,"Strategy, Management Consulting Firms",Analytics & Business Intelligence,Analytics & BI,2019-07-04 17:23:41 +0000
199,Junior Business Analyst,,Bengaluru,0,1,"4,00,000","6,00,000 PA.",,,,"BPO, Call Centre, ITeS","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-07-06 15:53:31 +0000
200,Business Intelligence & Analytics specialist,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Procurement| Supply chain| Business services| Supply chain management| Siemens| Business intelligence| SCM| Analytics| SQL| Logistics,,,"Electricals, Switchgears","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-06 07:53:13 +0000
201,Sr Data Analyst II,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAP| Business analytics| Analytical| Corporate finance| Business intelligence| Forecasting| Operations| Monitoring| CRM| Salesforce,,,"Banking, Financial Services, Broking","ITES , BPO , KPO , LPO , Customer Service , Operations",Voice,2019-08-05 14:38:50 +0000
202,Data Analytics,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Cold calling| Copyright| Automation| Interpersonal skills| Solution selling| Data analytics| Business solutions| Presentation| Business Executive| Auditing,,,"Banking, Financial Services, Broking","Sales , Retail , Business Development",Retail Sales,2019-07-06 19:12:30 +0000
203,Manager - SAS Analytics - BFS,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Intelligence| SAS| Statistics| Analytics,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-04 14:19:50 +0000
204,SAS and SQL Analytics with Tableau/ Qlik- AM & M- IIT/IIM/NIT/BIT,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS SQL| Tableau| Analytics,,,"KPO, Research, Analytics","ITES , BPO , KPO , LPO , Customer Service , Operations",Back Office/Web/Transaction Processing,2019-07-07 04:34:10 +0000
205,Associate Professional Business Analyst,,Noida,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| Business analysis| Analytical| Test scenarios| System design| Technology solutions| Business solutions| Information technology,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-07-04 22:32:39 +0000
206,Data Analyst ( Excel Knowledge Required ),,Hyderabad (Tellapur),0,1,"1,50,000","3,50,000 PA.",MIS Reporting| MIS Preparation| Data Analysis| Report Generation| mis generation,,,"Real Estate, Property","Executive Assistant , Front Office , Data Entry",Other,2019-07-04 23:53:19 +0000
207,Analyst Analytics Solutions,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analytics| Senior Analyst| Consulting| Managed services| Analytical| Data management| Data mining| Cognos| Operations| QlikView,,,"Banking, Financial Services, Broking","Sales , Retail , Business Development",Retail Sales,2019-07-07 02:53:58 +0000
208,"Opening for data Analyst in Ericson Insurance Tpa,chembur,mumbai",,Mumbai,0,1,"1,00,000","2,50,000 PA.",MIS Preparation| Data Analysis| Advanced Excel,,,Other,Analytics & Business Intelligence,Analytics & BI,2019-07-05 12:52:53 +0000
209,Business Analyst - Mobile,,Ahmedabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Development planning| Recruitment| CRM| Networking| Customer support| VOIP| LAN| WAN| Social media| Firewall,,,"IT-Software, Software Services","IT Software - eCommerce , Internet Technologies",System Design/Implementation/ERP/CRM,2019-07-05 00:50:23 +0000
210,Manager/senior Manager - Retail/media Analytics - Iit/iim,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Intelligence| Retail Analytics| SAS| Big Data| Data Visualization| Tableau| Analytics| SQL| Python,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 14:18:06 +0000
211,Sr . Prof . - Data Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SSIS| SQL| CRM| Data analysis| MIS| SSRS| QlikView| data visualization| Analytics| Business operations,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",Programming & Design,2019-08-06 07:44:56 +0000
212,Reporting Analyst,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Interfaces|Forms|Excel|operations|VBA|Power Bi|Reporting Analyst|Client Reporting|Asset Management|Trend Analysis,,,Banking / Financial Services / Broking,"Financial Services , Banking , Investments , Insurance",Financial Services/Stock Broking,2019-08-04 02:14:12 +0000
213,Associate Business Analyst,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Data analysis| SDLC| SQL| process| Business Analyst| Project documentation| level| Writing| Testing,,,"Education, Teaching, Training",IT Software - Other,System Design/Implementation/ERP/CRM,2019-08-05 19:25:54 +0000
214,Junior Business Analyst,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Unix| BPO| Computer science| Automation| Business Analyst| Cash management| Test cases| infrastructure services| SQL,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-04 06:57:24 +0000
215,Data Analyst Manager - Java/big Data,,Navi Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Intelligence| Java| Hive| C| MySQL| Cassandra| Big Data| Data Visualization| Python,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 23:54:28 +0000
216,Business Analyst (fresher),,Chandigarh,0,1,"1,25,000","2,50,000 PA.",Communication Skills| rfi| proposal writing| new business| business analysis| rfp| social media,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 01:44:26 +0000
217,Analytics Manager,,Noida,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,,,"KPO, Research, Analytics","ITES , BPO , KPO , LPO , Customer Service , Operations",Voice,2019-07-05 12:15:13 +0000
218,Network Security Service Domain Business Analyst,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Excel| cyber security| Information security| Analytical| Network security| Security services| Cost benefit analysis| Information technology| Business operations,,,"Education, Teaching, Training","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 07:42:33 +0000
219,Lead Business Analyst SAS,,Noida,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,data science| Healthcare| Troubleshooting| Analytics| Data analysis| SQL| SAS| HTML| Coding| Oracle,,,"Medical, Healthcare, Hospitals","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-07-04 22:25:25 +0000
220,Manager/consultant/analyst - Go To Market Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Predictive Modeling| SAS| Statistical Modeling| Marketing Analytics| Statistics| Analytics| Python,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-04 09:59:44 +0000
221,SEM and Analytics,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SEM| Analytics| Google AdWords| Performance review| Keyword research| Campaigns| Search engine optimization| PPC Analyst| Troubleshooting| Client communication,,,"IT-Software, Software Services","IT Software - eCommerce , Internet Technologies",Programming & Design,2019-07-06 08:03:00 +0000
222,Business Analyst I,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Manual testing| Business Analyst| Business analysis| Trade finance| RDBMS| Finance| Corporate| Test cases| SQL,,,"BPO, Call Centre, ITeS",Analytics & Business Intelligence,Analytics & BI,2019-07-07 04:01:38 +0000
223,Procurement Jobs In Gurgaon - Spend Analytics,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Procurement| Strategic management| SAP MM| Management consulting| Tools| Outsourcing| Business intelligence| Business Executive| Analytics| Ariba,,,"Recruitment, Staffing",Purchase / Logistics / Supply Chain,Purchase/Material Management,2019-08-05 20:56:52 +0000
224,Business Analyst/change Manager - Investment Banking - Mumbai,,Mumbai,0,1,"15,00,000","22,50,000 PA.",Change Manager| Business Analyst| Project Manager| Investment Banking Operations| Business Analysis,,,"KPO, Research, Analytics","Financial Services , Banking , Investments , Insurance",Investment Banking,2019-08-04 23:47:53 +0000
225,Business Analytics- Professor,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Counselor| Mentor| Trainer| Lecturer| Teaching,,,"Education, Teaching, Training","Teaching , Education , Training , Counselling",University Level,2019-08-06 01:10:40 +0000
226,Business Analyst : Prime vendor,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Product launch| Microstrategy| Administration| Surgical| Business Analyst| Project management| Healthcare| Vendor| MS Office| Sharepoint,,,"Pharma, Biotech, Clinical Research","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 23:42:49 +0000
227,"Data Analyst - SAS, SQL, Hive and Python",,Gurgaon,0,1,Openings: 2,Openings: 2,advance sas|sql|python|hive|campaign management|data analysis|data analytics|data mining|ETL Testing|ETL developer,,,Banking / Financial Services / Broking,Analytics & Business Intelligence,Analytics & BI,2019-07-04 10:03:52 +0000
228,ACN – Digital – Analytics – FS Analytics Professional,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SQL|SAS|Business intelligence|Data modeling|Data analysis|MS Access|Account management|Schema|Publishing|data security,,,IT-Software / Software Services,Analytics & Business Intelligence,Analytics & BI,2019-07-05 08:12:26 +0000
229,Manager/ Senior Manager - Analytics - Life & Annuities,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Text Mining| R| Machine Learning| SAS| Logistic Regression| SQL| Insurance Analytics| Data Mining| Excel| Python,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-04 18:44:59 +0000
230,Speech Analytics Professional IND,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analyst,,,"Banking, Financial Services, Broking",Other,,2019-08-04 01:26:21 +0000
231,LTI Requirement - Business Analyst - Payments,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,business analysis| Payments,,,"IT-Software, Software Services",IT Software - Other,System Design/Implementation/ERP/CRM,2019-08-04 02:35:55 +0000
232,Sba/am/manager/senior Manager - Analytics - Group Disability,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Predictive Modeling| Logistic Regression| R| SAS| Predictive Analytics| Machine Learning| Excel| Segmentation| Python| Clustering,,,Insurance,Analytics & Business Intelligence,Analytics & BI,2019-07-04 18:51:46 +0000
233,"Data Analyst,",,Mumbai,0,1,"50,000","3,00,000 PA.",analytics| data analytics| XML| data mining| Javascript| Data Analysis| Business Objects| SQL,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-04 08:47:25 +0000
234,"Business Analyst,project Manager,.net,asp.net,c#,mvc",,Navi Mumbai,0,1,"12,00,000","18,00,000 PA.",project management| microsoft technologies| project lead| asp.net| Project Manager| .net| business analysis| Technical Lead| tech lead| MVC,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 20:02:38 +0000
235,Business Analyst - Insurance,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Life insurance| Consulting| Business analysis| Functional testing| English language| Senior Business Analyst| Language skills| C| Training| Technical,,,"IT-Software, Software Services",IT Software - Other,System Design/Implementation/ERP/CRM,2019-07-07 01:17:47 +0000
236,Salesforce Einstein Analytics,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analytics| Consulting| CRM| Business administration| technical| functions| configuration| administration| Salesforce.com| mobile| Management| tools| quality| Computer science| Training| salesforce| service| design| scrum| developer| HRD| programming,,,"IT-Software, Software Services",IT Software - System Programming,Programming & Design,2019-08-05 09:10:02 +0000
237,Urgent Opening for DATA Analytics Expert for Kolkata,,Kolkata,0,1,"7,00,000","10,00,000 PA.",Data Analytics,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-07-04 07:33:30 +0000
238,Senior Analyst - Data Consulting & Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analytics| Data Management| Data Analytics| Statistics| SAS,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-07-04 21:54:20 +0000
239,Manager Business Analyst,,Gurgaon,0,1,"14,00,000","15,00,000 PA.",Business Analyst| Business Analytics| Business Analysis| Data Analysis| Data Management| Operations| Finance| Customer Service| R| Python| SQL| Excel,,,"Courier, Transportation, Freight , Warehousing",Analytics & Business Intelligence,Analytics & BI,2019-07-05 11:12:24 +0000
240,Hadoop Engineer - Big Data Analytics,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,C++| data science| HTML| SAS| Perl| MATLAB| Technical support| Analytics| Android| Python,,,"Medical, Healthcare, Hospitals","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 09:53:33 +0000
241,Advanced Analytics - Solution Lead,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Computer vision| advanced analytics| Lead Architect| Renewable energy| data science| Data modeling| Machine learning| Architectural design| Agile| Technology solutions,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",Programming & Design,2019-07-04 19:05:06 +0000
242,Business Analyst - Bandra - Digital Media Marketing Firm,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,open source| website| digital media| charts| drafting| gap analysis| documentation| english| sdlc| process flow,,,"Recruitment, Staffing","Marketing , Advertising , MR , PR , Media Planning",Advertising,2019-07-06 22:13:10 +0000
243,Senior Manager - SAS Analytics - Credit Card/banking Domain,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Analytics| Statistics| Predictive Modeling| Statistical Modeling,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Analytics & BI,2019-07-04 15:02:14 +0000
244,Business Analyst - SQL & R - Retail/ecommerce/telecom,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Analytics| SQL| Data Analytics| Statistics| Machine Learning| Data Management,,,"Internet, Ecommerce","IT Software - DBA , Datawarehousing",System Design/Implementation/ERP/CRM,2019-07-05 21:56:15 +0000
245,"Hiring for Business Analyst- Lucknow,delhi-sahibabad,bangalore-chennai",,Bengaluru,0,1,"7,50,000","10,00,000 PA.",business finance| competitive intelligence| quantitative analysis| strategic planning| business analysis| financial services| system implementation| financial analysis| financial planning| financial reporting| Qualitative Analysis| Cost Analysis,,,"Banking, Financial Services, Broking","Accounts , Finance , Tax , Company Secretary , Audit",Finance/Audit,2019-07-04 09:18:57 +0000
246,Senior Data Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Data Analysis,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-07-05 20:49:41 +0000
247,Lead Business Analyst - Business Analytics Team,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,r| python| Business Analytics| SQL,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-06 11:40:34 +0000
248,Business Analyst - Sas/reporting,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Statistics| Analytics| Data Analytics| MIS| SQL,,,"Strategy, Management Consulting Firms",Analytics & Business Intelligence,Analytics & BI,2019-07-06 01:32:02 +0000
249,Credit Risk Business Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,impact analysis|solution design|Business Analyst|credit risk|liquidity risk|business analysis|credit risk business analyst|data migration|finance|banking,,,IT-Software / Software Services,"Financial Services , Banking , Investments , Insurance",Corporate Banking,2019-08-05 19:37:41 +0000
250,Data Analyst,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,QlikView| Data quality| Analytical| Continuous improvement| Root cause analysis| Recruitment| Data analytics| Data Architect| Data Analyst| Electronics,,,"IT-Software, Software Services",IT Software - Other,Programming & Design,2019-07-06 09:43:17 +0000
251,Credit Suisse - Business Analyst - Credit Risk,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,FSD| Brd| VAR| Credit Risk Management| Investment Banking| Derivatives| Business Analysis| Capital Market| Finance| UAT| Business Intelligence| datawarehouse,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Analytics & BI,2019-07-05 04:59:38 +0000
252,Business Analyst,,Mumbai (Rajendra Nagar),0,1,"3,00,000","3,50,000 PA.",vba| excel| business analysis| problem solving| tableau| mis reporting| variance analysis,,,"Accounting, Finance",Analytics & Business Intelligence,Analytics & BI,2019-07-04 23:24:43 +0000
253,Manager - Marketing Analytics - KPO,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Statistical Modeling| Web Analytics| Marketing Analytics| Data Analytics| Statistics| Analytics| Python,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-08-05 00:39:16 +0000
254,Accounts Executive / Accountant / Accounts Officer /data Analyst,,Delhi NCR,0,1,"2,00,000","3,00,000 PA.",accounts executive| tds| accountant| vat| gst| tax| receivable| direct tax| reconciliation| ap| ar| entry| fresher| accounts officer| returns| income tax| taxation| return| Accounts,,,"Accounting, Finance","Accounts , Finance , Tax , Company Secretary , Audit",Accounts,2019-08-04 11:11:12 +0000
