uniq_id,posted_date,job_title,salary_raw,experience_raw,skills,role,location,functional_area,industry,company,job_description,employment_type,experience_min,experience_max,salary_min,salary_max
a60a30dd68f9b0dc1aaeb9d9775911f6,2019-07-06 01:24:28 +0000,Associate - Strategic Analytics Business Cards Acquisitions), Not Disclosed by Recruiter ,0 - 5 yrs,technology| finance| operations| human resources,Finance/Audit,Bengaluru,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
037b658440bbb53ee00e6c1ab16ac3cc,2019-07-07 01:42:04 +0000,Lead Business Analyst (SI-0030-N1C), Not Disclosed by Recruiter ,10 - 13 yrs,data analysis| Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,System Design/Implementation/ERP/CRM,Bengaluru,IT Software - Telecom Software,"Internet, Ecommerce",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
9fa19175fbccae71ca0529bc14ad291b,2019-07-04 23:41:37 +0000,Life Insuranance - Business Analyst - Infosys Hyderabad," 8,00,000 - 14,00,000 PA. ",3 - 8 yrs,insurance| Business Analyst| Life Insurance,Programming & Design,Hyderabad (Pocharam),"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,"8,00,000","14,00,000 PA."
995da3ececb6c73d1c05754bc7ac5d85,2019-08-04 14:26:36 +0000,Senior Business Analyst - Websphere/edi, Not Disclosed by Recruiter ,1 - 5 yrs,software development| Business Analyst| WebSphere| WTX| EDI| SQL Server| SDLC,System Design/Implementation/ERP/CRM,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
3aea1ddf6546926bc3ba0db1d8a57a8d,2019-08-04 23:48:37 +0000,We are Hiring For IT Business Analyst - Capital Market Domain Expert, Not Disclosed by Recruiter ,7 - 12 yrs,Capital Market| derivatives| Regulatory Reporting| Business Analysis| OTC,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
3a3993faa0cc74948a14483aa4117b92,2019-07-04 06:22:19 +0000,Data Analytics, Not Disclosed by Recruiter ,5 - 8 yrs,Unit testing| Monitoring| Computer science| Software configuration management| Performance management| Service level| Data analytics| Architecture| Resource planning| software architecture,Programming & Design,Chandigarh,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
ca19d8f938b4e2e6eb710b2d2812e595,2019-08-04 02:58:41 +0000,Business Analyst / Product Owner," 4,00,000 - 8,00,000 PA. ",3 - 7 yrs,User Acceptance Testing| Product Management| Use Cases| Written Communication| Business Process| Agile Process| Project Leading| Agile Development| Leadership Skills| Business Analysis,Institutional Sales,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",,,,0,1,"4,00,000","8,00,000 PA."
5bbdc842775691e97694ead93ff51918,2019-08-04 05:41:56 +0000,Senior Business Analyst (property & Causality), Not Disclosed by Recruiter ,5 - 9 yrs,business process| product management| configuration| test strategy| business analysis| scrum| agile| business analyst,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
d72e5ef2ff56f8bee8db589157549b5e,2019-07-06 07:33:09 +0000,Business Analyst C1, Not Disclosed by Recruiter ,7 - 10 yrs,Financial services| Investment banking| Data analysis| SDLC| Root cause analysis| SQL queries| Business Analyst| Vendor| QA| Equity,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
677f5f4b37225cb139af869d22422854,2019-07-04 08:22:45 +0000,Java Architect - Mlp/analytics, Not Disclosed by Recruiter ,9 - 12 yrs,Java| Analytics| Algorithm| IT Service Delivery| Project Management,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
